timestamp,ip,port,session_id,event_type,packets,duration_sec
2026-04-21T13:30:53.950719,127.0.0.1,34610,a13d237c,CONNECT,0,0.0
2026-04-21T13:30:59.961077,127.0.0.1,34610,a13d237c,DISCONNECT,0,6.011
2026-04-21T13:31:00.201203,127.0.0.1,34620,3214b04a,CONNECT,0,0.0
2026-04-21T13:31:06.208691,127.0.0.1,34620,3214b04a,DISCONNECT,0,6.008
2026-04-21T13:31:09.452890,127.0.0.1,37396,b85426bf,CONNECT,0,0.0
2026-04-21T13:31:19.459550,127.0.0.1,37396,b85426bf,DISCONNECT,0,10.007
2026-04-21T13:31:19.686011,127.0.0.1,47764,351b8b58,CONNECT,0,0.0
2026-04-21T13:31:29.702367,127.0.0.1,47764,351b8b58,DISCONNECT,0,10.017
2026-04-21T13:31:35.946057,127.0.0.1,54486,b5c530a8,CONNECT,0,0.0
2026-04-21T13:31:49.451326,127.0.0.1,34672,77f060f5,CONNECT,0,0.0
2026-04-21T13:31:51.937048,127.0.0.1,54486,b5c530a8,DISCONNECT,0,15.991
2026-04-21T13:31:52.167919,127.0.0.1,34682,92baee17,CONNECT,0,0.0
2026-04-21T13:31:58.251994,127.0.0.1,34672,77f060f5,DISCONNECT,0,8.802
2026-04-21T13:32:07.946427,127.0.0.1,34682,92baee17,DISCONNECT,0,15.787
2026-04-21T13:55:23.563528,127.0.0.1,58984,bf18a2ef,CONNECT,0,0.0
2026-04-21T13:55:24.087856,127.0.0.1,58984,bf18a2ef,DISCONNECT,0,0.525
2026-04-21T13:55:24.283776,127.0.0.1,58988,ce022dc9,CONNECT,0,0.0
2026-04-21T13:55:29.421698,127.0.0.1,58992,d4144db8,CONNECT,0,0.0
2026-04-21T13:56:24.341222,127.0.0.1,58988,ce022dc9,DISCONNECT,0,60.058
2026-04-21T13:56:32.337003,127.0.0.1,58992,d4144db8,DISCONNECT,0,62.916
2026-04-21T13:58:50.613313,127.0.0.1,37864,f86ef823,CONNECT,0,0.0
2026-04-21T13:58:56.229465,127.0.0.1,37864,f86ef823,DISCONNECT,0,5.618
2026-04-21T14:18:40.135623,127.0.0.1,50518,67bd7f72,CONNECT,0,0.0
2026-04-21T14:18:40.144430,127.0.0.1,50518,67bd7f72,DISCONNECT,0,0.011
2026-04-21T14:18:43.247270,127.0.0.1,53028,c17e5677,CONNECT,0,0.0
2026-04-21T14:18:54.254657,127.0.0.1,53028,c17e5677,DISCONNECT,0,11.008
2026-04-21T14:18:54.438400,127.0.0.1,49150,d68d8af0,CONNECT,0,0.0
2026-04-21T14:18:59.448853,127.0.0.1,49150,d68d8af0,DISCONNECT,0,5.011
2026-04-21T14:18:59.682722,127.0.0.1,49158,a3393a04,CONNECT,0,0.0
2026-04-21T14:19:04.688884,127.0.0.1,49158,a3393a04,DISCONNECT,0,5.007
2026-04-21T14:19:04.888620,127.0.0.1,33082,6e0f4bb9,CONNECT,0,0.0
2026-04-21T14:19:09.893261,127.0.0.1,33082,6e0f4bb9,DISCONNECT,0,5.006
2026-04-21T14:19:10.146883,127.0.0.1,33088,82866e72,CONNECT,0,0.0
2026-04-21T14:19:15.156380,127.0.0.1,33088,82866e72,DISCONNECT,0,5.011
2026-04-21T14:19:15.392051,127.0.0.1,36282,86d5db36,CONNECT,0,0.0
2026-04-21T14:19:20.401779,127.0.0.1,36282,86d5db36,DISCONNECT,0,5.01
2026-04-21T14:19:20.600299,127.0.0.1,36292,963ca653,CONNECT,0,0.0
2026-04-21T14:19:25.601290,127.0.0.1,36292,963ca653,DISCONNECT,0,5.002
2026-04-21T14:19:25.870104,127.0.0.1,54840,7d4d0336,CONNECT,0,0.0
2026-04-21T14:19:30.880755,127.0.0.1,54840,7d4d0336,DISCONNECT,0,5.011
2026-04-21T14:19:31.079822,127.0.0.1,54842,3613aab9,CONNECT,0,0.0
2026-04-21T14:19:36.079744,127.0.0.1,54842,3613aab9,DISCONNECT,0,5.001
2026-04-21T14:19:36.331714,127.0.0.1,54746,2a154194,CONNECT,0,0.0
2026-04-21T14:19:43.841968,127.0.0.1,54746,2a154194,DISCONNECT,0,7.511
2026-04-21T14:19:44.077441,127.0.0.1,50656,13ac01aa,CONNECT,0,0.0
2026-04-21T14:19:49.091897,127.0.0.1,50656,13ac01aa,DISCONNECT,0,5.015
2026-04-21T14:19:49.327778,127.0.0.1,50662,8f010281,CONNECT,0,0.0
2026-04-21T14:19:54.332664,127.0.0.1,50662,8f010281,DISCONNECT,0,5.005
2026-04-21T14:19:54.579493,127.0.0.1,50282,8538f43c,CONNECT,0,0.0
2026-04-21T14:19:59.576424,127.0.0.1,50282,8538f43c,DISCONNECT,0,5.005
2026-04-21T14:19:59.811792,127.0.0.1,50286,51ab947e,CONNECT,0,0.0
2026-04-21T14:20:04.815142,127.0.0.1,50286,51ab947e,DISCONNECT,0,5.004
2026-04-21T14:20:05.486547,127.0.0.1,55658,29cabd05,CONNECT,0,0.0
2026-04-21T14:20:08.258330,127.0.0.1,55658,29cabd05,DISCONNECT,0,2.773
2026-04-21T14:21:52.084715,127.0.0.1,44674,24afe368,CONNECT,0,0.0
2026-04-21T14:22:02.089430,127.0.0.1,44674,24afe368,DISCONNECT,0,10.006
2026-04-21T14:47:15.169850,127.0.0.1,57948,7f24a24d,CONNECT,0,0.0
2026-04-21T14:47:19.902638,127.0.0.1,57948,7f24a24d,DISCONNECT,0,4.734
2026-04-21T15:20:13.911909,127.0.0.1,54738,11079c61,CONNECT,0,0.0
2026-04-21T15:20:15.916159,127.0.0.1,54738,11079c61,DISCONNECT,0,2.006
2026-04-21T17:25:30.985253,127.0.0.1,35730,ee261c52,CONNECT,0,0.0
2026-04-21T17:25:35.793668,127.0.0.1,35730,ee261c52,DISCONNECT,0,4.809
2026-04-21T17:49:51.258336,127.0.0.1,53478,c0b7f887,CONNECT,0,0.0
2026-04-21T17:49:51.265705,127.0.0.1,53478,c0b7f887,DISCONNECT,0,0.008
2026-04-21T17:49:51.514668,127.0.0.1,53486,f1bdc870,CONNECT,0,0.0
2026-04-21T17:49:51.569646,127.0.0.1,53496,01294b0a,CONNECT,0,0.0
2026-04-21T17:49:51.589841,127.0.0.1,53504,6e83f3d3,CONNECT,0,0.0
2026-04-21T17:49:51.621458,127.0.0.1,53518,846f2ac0,CONNECT,0,0.0
2026-04-21T17:49:51.636480,127.0.0.1,53534,fc55b245,CONNECT,0,0.0
2026-04-21T17:49:51.683112,127.0.0.1,53546,1fc5ddb0,CONNECT,0,0.0
2026-04-21T17:49:51.732144,127.0.0.1,53562,06475d03,CONNECT,0,0.0
2026-04-21T17:49:51.749605,127.0.0.1,53572,fcb52184,CONNECT,0,0.0
2026-04-21T17:49:51.763453,127.0.0.1,53582,ccd38b6e,CONNECT,0,0.0
2026-04-21T17:49:52.559360,127.0.0.1,53588,3e922c29,CONNECT,0,0.0
2026-04-21T17:50:01.520474,127.0.0.1,53486,f1bdc870,DISCONNECT,0,10.008
2026-04-21T17:50:01.580842,127.0.0.1,53496,01294b0a,DISCONNECT,0,10.012
2026-04-21T17:50:01.599816,127.0.0.1,53504,6e83f3d3,DISCONNECT,0,10.01
2026-04-21T17:50:01.632621,127.0.0.1,53518,846f2ac0,DISCONNECT,0,10.012
2026-04-21T17:50:01.642141,127.0.0.1,53534,fc55b245,DISCONNECT,0,10.006
2026-04-21T17:50:01.693782,127.0.0.1,53546,1fc5ddb0,DISCONNECT,0,10.011
2026-04-21T17:50:01.743012,127.0.0.1,53562,06475d03,DISCONNECT,0,10.011
2026-04-21T17:50:01.758007,127.0.0.1,53572,fcb52184,DISCONNECT,0,10.009
2026-04-21T17:50:01.772829,127.0.0.1,53582,ccd38b6e,DISCONNECT,0,10.01
2026-04-21T17:50:01.880712,127.0.0.1,51126,5780dd4c,CONNECT,0,0.0
2026-04-21T17:50:01.897250,127.0.0.1,51134,8438e2dc,CONNECT,0,0.0
2026-04-21T17:50:01.951798,127.0.0.1,51146,9dd7bbc0,CONNECT,0,0.0
2026-04-21T17:50:02.001715,127.0.0.1,51148,51c9fefa,CONNECT,0,0.0
2026-04-21T17:50:02.136955,127.0.0.1,51150,4d07bb22,CONNECT,0,0.0
2026-04-21T17:50:02.189239,127.0.0.1,51154,db91b5a7,CONNECT,0,0.0
2026-04-21T17:50:02.214986,127.0.0.1,51166,60d378ab,CONNECT,0,0.0
2026-04-21T17:50:02.234787,127.0.0.1,51178,10cbec1b,CONNECT,0,0.0
2026-04-21T17:50:02.567946,127.0.0.1,53588,3e922c29,DISCONNECT,0,10.009
2026-04-21T17:50:02.775932,127.0.0.1,51192,866026c8,CONNECT,0,0.0
2026-04-21T17:50:02.805657,127.0.0.1,51198,c6a19314,CONNECT,0,0.0
2026-04-21T17:50:11.889852,127.0.0.1,51126,5780dd4c,DISCONNECT,0,10.01
2026-04-21T17:50:11.907686,127.0.0.1,51134,8438e2dc,DISCONNECT,0,10.011
2026-04-21T17:50:11.964588,127.0.0.1,51146,9dd7bbc0,DISCONNECT,0,10.013
2026-04-21T17:50:12.010721,127.0.0.1,51148,51c9fefa,DISCONNECT,0,10.01
2026-04-21T17:50:12.146030,127.0.0.1,51150,4d07bb22,DISCONNECT,0,10.01
2026-04-21T17:50:12.201804,127.0.0.1,51154,db91b5a7,DISCONNECT,0,10.013
2026-04-21T17:50:12.224953,127.0.0.1,51166,60d378ab,DISCONNECT,0,10.011
2026-04-21T17:50:12.244228,127.0.0.1,51178,10cbec1b,DISCONNECT,0,10.01
